time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,Date
119.0,1.0,106.0,0.2861706448310304,0.2456645436599842,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-28
120.0,1.0,107.0,0.2853639544610846,0.2456645436599842,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-29
121.0,1.0,108.0,0.2845919924433792,0.2456645436599842,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-30
122.0,1.0,109.0,0.28498473105424604,0.2456645436599842,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-31
123.0,1.0,110.0,0.3327304072389321,0.2456645436599842,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-01
124.0,1.0,111.0,0.2947175660505804,0.2813594057403094,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-02
125.0,1.0,112.0,0.2845758686211625,0.28706387262990984,0.23697226761246248,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-03
126.0,1.0,113.0,0.28022628531193305,0.28701514657687194,0.23702099366550042,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-04
127.0,1.0,114.0,0.27449480777191504,0.28700359209839765,0.2370325481439747,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-05
128.0,1.0,115.0,0.2712610650511636,0.28700085190276253,0.23703528833960982,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-06
129.0,1.0,116.0,0.2700831532408287,0.28700020203831716,0.23703593820405522,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-07
130.0,1.0,117.0,0.2695198902807706,0.28700004791570827,0.23703609232666412,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-08
131.0,1.0,118.0,0.26915386854284234,0.2870000113637636,0.2370361288786088,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-09
132.0,1.0,119.0,0.2675336604389865,0.2870000026950479,0.2370361375473245,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-10
133.0,1.0,120.0,0.26693611888493,0.2870000006391617,0.23703613960321065,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-11
134.0,1.0,121.0,0.26049954889344107,0.28700000015158467,0.2370361400907877,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-12
135.0,1.0,122.0,0.2550066354515388,0.28700000003595,0.23703614020642236,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-13
136.0,1.0,123.0,0.23874358808369653,0.28700000000852605,0.23703614023384634,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-14
137.0,1.0,124.0,0.23808870133255894,0.25372217471002056,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-15
138.0,1.0,125.0,0.23768893663231336,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-16
139.0,1.0,126.0,0.237414125826494,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.26132987184806544,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-17
140.0,1.0,127.0,0.23722091099693782,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.25420908553870714,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-18
141.0,1.0,128.0,0.236995763023264,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2459532526604353,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-19
142.0,1.0,129.0,0.23872120995254925,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2459532526604353,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-20
143.0,1.0,130.0,0.24072162261036117,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2459532526604353,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-21
144.0,1.0,131.0,0.23906511288868296,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2459532526604353,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-22
145.0,1.0,132.0,0.2386605899820378,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.24536597545891178,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-23
146.0,1.0,133.0,0.23828019649625862,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.24453726612508522,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-24
147.0,1.0,134.0,0.2374281150881133,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2242347201673117,0.27891104761859525,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-25
148.0,1.0,135.0,0.23670790342170472,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2242347201673117,0.25840722293014,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-26
149.0,1.0,136.0,0.23611195362731735,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2242347201673117,0.23915391333066516,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-27
150.0,1.0,137.0,0.23549749477136817,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2242347201673117,0.238413862155258,0.265182653063427,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-02-28
151.0,1.0,138.0,0.2349781464297572,0.22530027448287207,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2242347201673117,0.238413862155258,0.2440346693696735,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-03-01
152.0,1.0,139.0,0.39662787826449647,0.37137984749132924,0.23703614024035036,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2242347201673117,0.238413862155258,0.2440346693696735,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-03-02
153.0,1.0,140.0,0.4014723519736538,0.30824331470413013,0.30592581505853766,0.29382708879126423,0.2582441556198185,0.23735470727082636,0.2242347201673117,0.238413862155258,0.2440346693696735,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-03-03
154.0,1.0,141.0,0.30784018708342575,0.3088510362253608,0.2995423595353578,0.2962895222892859,0.2939652690260718,0.2894400216792775,0.232659888639294,0.238413862155258,0.2440346693696735,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-03-04
155.0,1.0,142.0,0.28778724058376587,0.2919987768515657,0.29188735573335767,0.29104918543153463,0.29044908244000056,0.2899842550435497,0.2814439498169018,0.238413862155258,0.2440346693696735,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-03-05
156.0,1.0,143.0,0.2723037695928803,0.2881759710339285,0.2881499674095125,0.2879540489995446,0.2878680753672383,0.28785380922680326,0.2878212973447775,0.24800407190956372,0.2440346693696735,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-03-06
